config,defense,clip_norm,noise_std,round,accuracy,loss,train_loss,learning_rate,update_norm,clipping_scale,noise_std_recorded
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,25,0.1865,2.1913,2.2013957589988418,0.02822116049536225,0.02082053027288764,0.4804260826545712,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,26,0.1899,2.186,2.197392013718041,0.026778839504637757,0.019785552143019015,0.5054770063331424,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,27,0.192,2.181,2.192111966276033,0.025339481917077168,0.018790311191417844,0.5323285117867496,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,28,0.1938,2.1761,2.187245867706441,0.02390900236174898,0.01766513983106536,0.5663293119384352,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,29,0.1956,2.1704,2.1831520335591668,0.02249327898598293,0.016560292460612608,0.6040721172819207,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,30,0.1976,2.166,2.179136190791626,0.021098129300801773,0.015614888520719567,0.6406937160151455,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,31,0.2001,2.1609,2.174945418241829,0.019729286275520584,0.014604100331190391,0.6851310584842212,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,32,0.2047,2.1554,2.17023711812765,0.018392374779746142,0.013539207708443534,0.7389992054460897,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,33,0.2062,2.1505,2.165014486276148,0.017092888469581215,0.01258823906852763,0.79469191040834,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,34,0.2086,2.145,2.159783948307675,0.01583616721301319,0.011648766067592648,0.8587271268731023,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,35,0.2086,2.14,2.1558967260630335,0.014627375147251192,0.010717628735454164,0.9333893474023641,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,36,0.2114,2.1353,2.1520241683432744,0.013471479458178498,0.009989877945103975,0.9929468563508355,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,37,0.2128,2.1305,2.1465524658869968,0.01237322996912037,0.0091358410114465,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,38,0.2124,2.1267,2.142476629379946,0.011337139622801133,0.008262944870046172,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,39,0.2166,2.1225,2.1373280659157774,0.010367465936694477,0.007611520501652586,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,40,0.2179,2.1187,2.1356020393392567,0.00946819350797098,0.006897916862966225,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,41,0.2177,2.1161,2.1327164357790642,0.008643017639933586,0.006301283216922771,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,42,0.2208,2.113,2.128612639194811,0.007895329157223739,0.005757521786165629,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,43,0.2214,2.1107,2.1276406652897952,0.0072282004721955714,0.005271069342881006,0.9999999999999998,0.0
