config,sample,true_label,inferred_label,label_ok,observed_defense,clip_norm,noise_std,raw_update_norm,defended_update_norm,clipping_scale,best_update_psnr,best_oracle_psnr,final_psnr,best_update_loss,elapsed_seconds
clip_c10,9,automobile,automobile,True,clipping,1.0,0.0,1.8959623575210571,0.9999999403953552,0.5274366318680281,18.979723098549165,18.985761298784453,18.989370176767554,0.00953376293182373,63.23974132537842
noise_s0001,0,airplane,airplane,True,noise,0.0,0.001,0.8124366998672485,3.4397099018096924,1.0,18.12416383378493,18.24421244564712,18.19446657261246,0.7680047750473022,63.72352623939514
noise_s0001,1,frog,frog,True,noise,0.0,0.001,0.8690917491912842,3.4527716636657715,1.0,10.685741837487113,10.788862332883657,10.79029748958865,0.7564011812210083,63.545504331588745
noise_s0001,2,airplane,airplane,True,noise,0.0,0.001,1.3313320875167847,3.5980277061462402,1.0,15.964873400477607,16.030851456804896,16.019395347379508,0.6360748410224915,62.34525728225708
noise_s0001,3,bird,bird,True,noise,0.0,0.001,1.4877930879592896,3.658759355545044,1.0,12.86015709834372,13.651182680593985,13.655832880678588,0.6036086678504944,63.276026010513306
noise_s0001,4,horse,horse,True,noise,0.0,0.001,1.4084246158599854,3.626666784286499,1.0,14.406910197091866,14.474722841790872,14.474448584375665,0.6195707321166992,63.35006785392761
noise_s0001,5,bird,bird,True,noise,0.0,0.001,1.0139055252075195,3.4926931858062744,1.0,17.464351609109276,17.497256867587453,17.170181452000843,0.7142152786254883,63.13969850540161
noise_s0001,6,automobile,automobile,True,noise,0.0,0.001,1.727309226989746,3.7617897987365723,1.0,14.598476099172187,14.735383555381123,14.719658606958742,0.5497537851333618,63.45344543457031
noise_s0001,7,bird,bird,True,noise,0.0,0.001,1.3182989358901978,3.5930936336517334,1.0,16.24218728453518,16.336913424153977,16.320638811542942,0.6393072605133057,63.22977113723755
noise_s0001,8,deer,deer,True,noise,0.0,0.001,0.9165483713150024,3.4651572704315186,1.0,14.968890533299827,15.520023689915075,15.499622625232591,0.7421860694885254,61.637431621551514
noise_s0001,9,automobile,automobile,True,noise,0.0,0.001,1.8959622383117676,3.842007875442505,1.0,13.597380282358909,13.666382471477865,13.668769135385135,0.5156586766242981,63.054004192352295
noise_s0002,0,airplane,airplane,True,noise,0.0,0.002,0.8124366998672485,6.733419895172119,1.0,15.365211431401065,15.520100967842154,15.238367828000051,0.8815793991088867,63.195091247558594
